Device: mps
Parameters: 1,785,137
Ep 12,400 | Steps    301,998 | Reward     2.4 | Lines   0.6 | Len  28.3 | Eps 0.426
Ep 12,600 | Steps    307,587 | Reward     2.4 | Lines   0.7 | Len  27.9 | Eps 0.416
Ep 12,800 | Steps    313,164 | Reward     2.5 | Lines   0.8 | Len  27.9 | Eps 0.405
Ep 13,000 | Steps    318,929 | Reward     2.6 | Lines   0.8 | Len  28.8 | Eps 0.394
Ep 13,200 | Steps    324,740 | Reward     2.8 | Lines   0.9 | Len  29.1 | Eps 0.383
Ep 13,400 | Steps    330,718 | Reward     3.0 | Lines   1.1 | Len  29.9 | Eps 0.372
Ep 13,600 | Steps    336,816 | Reward     3.0 | Lines   1.0 | Len  30.5 | Eps 0.360
Ep 13,800 | Steps    342,981 | Reward     3.1 | Lines   1.1 | Len  30.8 | Eps 0.348
Ep 14,000 | Steps    349,513 | Reward     3.6 | Lines   1.4 | Len  32.7 | Eps 0.336
Ep 14,200 | Steps    355,937 | Reward     3.4 | Lines   1.3 | Len  32.1 | Eps 0.324
Ep 14,400 | Steps    362,608 | Reward     3.9 | Lines   1.6 | Len  33.4 | Eps 0.311
Ep 14,600 | Steps    369,225 | Reward     3.7 | Lines   1.4 | Len  33.1 | Eps 0.298
Ep 14,800 | Steps    376,077 | Reward     4.1 | Lines   1.7 | Len  34.3 | Eps 0.285
Ep 15,000 | Steps    382,927 | Reward     4.4 | Lines   2.0 | Len  34.2 | Eps 0.272
Ep 15,200 | Steps    389,592 | Reward     4.3 | Lines   1.9 | Len  33.3 | Eps 0.260
Ep 15,400 | Steps    396,542 | Reward     4.8 | Lines   2.3 | Len  34.8 | Eps 0.247
Ep 15,600 | Steps    403,426 | Reward     4.8 | Lines   2.3 | Len  34.4 | Eps 0.233
Ep 15,800 | Steps    409,848 | Reward     4.1 | Lines   1.9 | Len  32.1 | Eps 0.221
Ep 16,000 | Steps    416,401 | Reward     4.6 | Lines   2.2 | Len  32.8 | Eps 0.209
Ep 16,200 | Steps    422,971 | Reward     4.5 | Lines   2.2 | Len  32.9 | Eps 0.196
Ep 16,400 | Steps    429,635 | Reward     4.8 | Lines   2.4 | Len  33.3 | Eps 0.184
Ep 16,600 | Steps    436,570 | Reward     5.2 | Lines   2.6 | Len  34.7 | Eps 0.171
Ep 16,800 | Steps    443,501 | Reward     5.0 | Lines   2.4 | Len  34.7 | Eps 0.157
Ep 17,000 | Steps    450,838 | Reward     5.5 | Lines   2.7 | Len  36.7 | Eps 0.143
Ep 17,200 | Steps    459,085 | Reward     7.2 | Lines   3.9 | Len  41.2 | Eps 0.128
Ep 17,400 | Steps    467,700 | Reward     8.0 | Lines   4.5 | Len  43.1 | Eps 0.111
Ep 17,600 | Steps    476,484 | Reward     8.6 | Lines   4.8 | Len  43.9 | Eps 0.095
Ep 17,800 | Steps    485,164 | Reward     8.5 | Lines   4.9 | Len  43.4 | Eps 0.078
Ep 18,000 | Steps    494,696 | Reward    10.9 | Lines   6.5 | Len  47.7 | Eps 0.060
  Checkpoint saved at 500,000 steps
Ep 18,200 | Steps    504,417 | Reward    11.2 | Lines   6.9 | Len  48.6 | Eps 0.050
Ep 18,400 | Steps    514,832 | Reward    13.1 | Lines   8.1 | Len  52.1 | Eps 0.050
Ep 18,600 | Steps    525,062 | Reward    12.6 | Lines   7.7 | Len  51.1 | Eps 0.050
Ep 18,800 | Steps    536,382 | Reward    15.4 | Lines   9.8 | Len  56.6 | Eps 0.050
Ep 19,000 | Steps    546,830 | Reward    13.1 | Lines   8.1 | Len  52.2 | Eps 0.050
Ep 19,200 | Steps    555,951 | Reward    10.7 | Lines   6.5 | Len  45.6 | Eps 0.050
Ep 19,400 | Steps    564,959 | Reward    10.4 | Lines   6.4 | Len  45.0 | Eps 0.050
Ep 19,600 | Steps    574,502 | Reward    12.2 | Lines   7.6 | Len  47.7 | Eps 0.050
Ep 19,800 | Steps    584,561 | Reward    13.2 | Lines   8.4 | Len  50.3 | Eps 0.050
Ep 20,000 | Steps    595,312 | Reward    14.8 | Lines   9.5 | Len  53.8 | Eps 0.050
Ep 20,200 | Steps    606,876 | Reward    16.4 | Lines  10.5 | Len  57.8 | Eps 0.050
Ep 20,400 | Steps    617,690 | Reward    14.1 | Lines   8.8 | Len  54.1 | Eps 0.050
Ep 20,600 | Steps    627,456 | Reward    11.1 | Lines   6.6 | Len  48.8 | Eps 0.050
Ep 20,800 | Steps    637,392 | Reward    11.4 | Lines   6.8 | Len  49.7 | Eps 0.050
Ep 21,000 | Steps    646,756 | Reward    10.6 | Lines   6.2 | Len  46.8 | Eps 0.050
Ep 21,200 | Steps    656,963 | Reward    12.2 | Lines   7.5 | Len  51.0 | Eps 0.050
Ep 21,400 | Steps    667,946 | Reward    14.3 | Lines   8.9 | Len  54.9 | Eps 0.050
Ep 21,600 | Steps    678,492 | Reward    13.0 | Lines   8.0 | Len  52.7 | Eps 0.050
Ep 21,800 | Steps    688,335 | Reward    11.1 | Lines   6.6 | Len  49.2 | Eps 0.050
Ep 22,000 | Steps    699,457 | Reward    14.2 | Lines   8.8 | Len  55.6 | Eps 0.050
Ep 22,200 | Steps    710,204 | Reward    13.2 | Lines   8.2 | Len  53.7 | Eps 0.050
Ep 22,400 | Steps    719,923 | Reward    11.2 | Lines   6.7 | Len  48.6 | Eps 0.050
Ep 22,600 | Steps    729,493 | Reward    11.5 | Lines   7.0 | Len  47.9 | Eps 0.050
Ep 22,800 | Steps    739,461 | Reward    13.0 | Lines   8.2 | Len  49.8 | Eps 0.050
Ep 23,000 | Steps    749,276 | Reward    12.5 | Lines   7.8 | Len  49.1 | Eps 0.050
Ep 23,200 | Steps    758,712 | Reward    11.8 | Lines   7.3 | Len  47.2 | Eps 0.050
Ep 23,400 | Steps    768,196 | Reward    11.7 | Lines   7.1 | Len  47.4 | Eps 0.050
Ep 23,600 | Steps    778,608 | Reward    13.4 | Lines   8.4 | Len  52.1 | Eps 0.050
Ep 23,800 | Steps    788,872 | Reward    12.6 | Lines   7.7 | Len  51.3 | Eps 0.050
Ep 24,000 | Steps    799,100 | Reward    12.0 | Lines   7.2 | Len  51.1 | Eps 0.050
Ep 24,200 | Steps    809,856 | Reward    13.3 | Lines   8.1 | Len  53.8 | Eps 0.050
Ep 24,400 | Steps    820,020 | Reward    11.9 | Lines   7.2 | Len  50.8 | Eps 0.050
Ep 24,600 | Steps    830,029 | Reward    11.6 | Lines   6.9 | Len  50.0 | Eps 0.050
Ep 24,800 | Steps    840,033 | Reward    11.6 | Lines   7.0 | Len  50.0 | Eps 0.050
Ep 25,000 | Steps    850,373 | Reward    12.1 | Lines   7.3 | Len  51.7 | Eps 0.050
Ep 25,200 | Steps    861,306 | Reward    13.9 | Lines   8.5 | Len  54.7 | Eps 0.050
Ep 25,400 | Steps    872,855 | Reward    15.2 | Lines   9.4 | Len  57.7 | Eps 0.050
Ep 25,600 | Steps    883,163 | Reward    11.9 | Lines   7.2 | Len  51.5 | Eps 0.050
Ep 25,800 | Steps    893,086 | Reward    11.7 | Lines   7.0 | Len  49.6 | Eps 0.050
Ep 26,000 | Steps    902,755 | Reward    10.9 | Lines   6.5 | Len  48.3 | Eps 0.050
Ep 26,200 | Steps    912,408 | Reward    11.1 | Lines   6.7 | Len  48.3 | Eps 0.050
Ep 26,400 | Steps    922,460 | Reward    12.1 | Lines   7.3 | Len  50.3 | Eps 0.050
Ep 26,600 | Steps    932,039 | Reward    11.4 | Lines   6.9 | Len  47.9 | Eps 0.050
Ep 26,800 | Steps    941,682 | Reward    11.6 | Lines   7.0 | Len  48.2 | Eps 0.050
Ep 27,000 | Steps    951,761 | Reward    12.6 | Lines   7.8 | Len  50.4 | Eps 0.050
Ep 27,200 | Steps    961,733 | Reward    12.2 | Lines   7.5 | Len  49.9 | Eps 0.050
Ep 27,400 | Steps    971,692 | Reward    11.9 | Lines   7.2 | Len  49.8 | Eps 0.050
Ep 27,600 | Steps    982,028 | Reward    12.2 | Lines   7.3 | Len  51.7 | Eps 0.050
Ep 27,800 | Steps    992,483 | Reward    12.4 | Lines   7.5 | Len  52.3 | Eps 0.050
  Checkpoint saved at 1,000,000 steps
Ep 28,000 | Steps  1,002,788 | Reward    11.9 | Lines   7.1 | Len  51.5 | Eps 0.050
Ep 28,200 | Steps  1,013,950 | Reward    14.3 | Lines   8.7 | Len  55.8 | Eps 0.050
Ep 28,400 | Steps  1,024,354 | Reward    12.1 | Lines   7.2 | Len  52.0 | Eps 0.050
